Id;Title;Year;Journal;First_Author;Abstract;Year_class
11;Disease activity, severity, and damage in the UK Juvenile-Onset Systemic Lupus Erythematosus Cohort.;2012;Arthritis and rheumatism;Watson L;OBJECTIVE: The UK Juvenile-Onset Systemic Lupus Erythematosus (JSLE) Cohort Study is a multicenter collaborative network established with the aim of improving the  understanding of juvenile SLE. The present study was undertaken to describe the clinical manifestations and disease course in patients with juvenile SLE from this large, national inception cohort. METHODS: Detailed data on clinical phenotype were collected at baseline and at regular clinic reviews and annual followup assessments in 232 patients from 14 centers across the UK over 4.5 years. Patients with SLE were identified according to the American College of Rheumatology (ACR) SLE classification criteria. The present cohort comprised children with juvenile SLE (n=198) whose diagnosis fulfilled >/=4 of the ACR criteria for SLE. RESULTS: Among patients with juvenile SLE, the female:male sex  distribution was 5.6:1 and the median age at diagnosis was 12.6 years (interquartile range 10.4-14.5 years). Male patients were younger than female patients (P<0.01). Standardized ethnicity data demonstrated a greater risk of juvenile SLE in non-Caucasian UK patients (P<0.05). Scores on the pediatric adaptation of the 2004 British Isles Lupus Assessment Group disease activity index demonstrated significantly increased frequencies of musculoskeletal (82%),  renal (80%), hematologic (91%), immunologic (54%), and neurologic (26%) involvement among the patients over time. A large proportion of the patients (93%) were taking steroids and 24% of the patients required treatment with cyclophosphamide. Disease damage was common, with 28% of the patients having a Systemic Lupus International Collaborating Clinics/ACR damage score of >/=1. CONCLUSION: The data on these patients from the UK JSLE Cohort Study, comprising  one of the largest national inception cohorts of patients with juvenile SLE to date, indicate that severe organ involvement and significant disease activity are primary characteristics in children with juvenile SLE. In addition, accumulation  of disease-associated damage could be seen.;2010-2012
12;White matter correlates of neuropsychological dysfunction in systemic lupus erythematosus.;2012;PloS one;Jung RE;"Patients diagnosed with Systemic Lupus Erythematosus have similar levels of neuropsychological dysfunction (i.e., 20-50%) as those with Neuropsychiatric Systemic Lupus Erythematosus (NPSLE). We hypothesized a gradient between cognition and white matter integrity, such that strongest brain-behavior relationships would emerge in NPSLE, intermediate in non-NPSLE, and minimal in controls. We studied thirty-one patients (16 non-NPSLE; 15 NPSLE), ranging in age from 18 to 59 years old (100% female), and eighteen age and gender matched healthy controls. DTI examinations were performed on a 1.5T scanner. A broad neuropsychological battery was administered, tapping attention, memory, processing speed, and executive functioning. The Total z-score consisted of the combined sum of all neuropsychological measures. In control subjects, we found no significant FA-Total z-score correlations. NPSLE, non-NPSLE, and control subjects differed significantly in terms of Total z-score (NPSLE = -2.25+/-1.77, non-NPSLE = -1.22+/-1.03, Controls = -0.10+/-.57; F = 13.2, p<.001). In non-NPSLE subjects, FA within the right external capsule was significantly correlated with Total z-score. In NPSLE subjects, the largest FA-Total z-score clusters were observed within the left anterior thalamic radiation and right superior longitudinal fasciculus. In subsequent analyses the largest number of significant voxels linked FA with the Processing Speed z-score in NPSLE. The current results reflect objective white matter correlates of neuropsychological dysfunction in both NPSLE and (to a lesser degree) in non-NPSLE. non-NPSLE and NPSLE subjects did not differ significantly in terms of depression, as measured by the GDI; thus, previous hypotheses suggesting moderating effects of depression upon neuropsychological performance do not impact the current FA results.";2010-2012
13;Belimumab reduces autoantibodies, normalizes low complement levels, and reduces select B cell populations in patients with systemic lupus erythematosus.;2012;Arthritis and rheumatism;Stohl W;OBJECTIVE: To assess the effects of the B lymphocyte stimulator (BLyS)-specific inhibitor belimumab on immunologic biomarkers, including B cell and T cell populations, and maintenance of antibody titers to prior vaccines in autoantibody-positive systemic lupus erythematosus (SLE) patients. METHODS: Pooled data from 2 phase III trials, the Study of Belimumab in Subjects with SLE  52-week (BLISS-52) and 76-week (BLISS-76) trials, comparing belimumab 1 mg/kg or  10 mg/kg versus placebo (plus standard SLE therapy for each group) were analyzed  for changes in autoantibody, immunoglobulin, and complement levels. BLISS-76 patients were also analyzed for changes in B cell and T cell populations and effects on prior vaccine-induced antibody levels. RESULTS: Belimumab-treated patients experienced significant sustained reductions in IgG and autoantibodies and improvement in C3/C4 levels, resulting in greater positive-to-negative conversion rates for IgG anti-double-stranded DNA (anti-dsDNA), anti-Sm, anticardiolipin, and anti-ribosomal P autoantibodies and normalization of hypergammaglobulinemia and low C3/C4 levels. Belimumab-treated patients experienced significant decreases in the numbers of naive and activated B cells,  as well as plasma cells, whereas memory B cells and T cell populations did not decrease. Belimumab did not substantially affect preexisting antipneumococcal or  anti-tetanus toxoid antibody levels. Post hoc analysis showed greater reductions  in SLE disease activity and the risk of severe flares in patients treated with belimumab 10 mg/kg (P</=0.01) who were anti-dsDNA positive and had low C3/C4 levels at baseline. Normalization of the C3 or anti-dsDNA level by 8 weeks, irrespective of therapy, was predictive of a reduced risk of severe flare over 52 weeks. CONCLUSION: Belimumab appears to promote normalization of serologic activity and reduce BLyS-dependent B cell subsets in serologically and clinically active SLE. Greater serologic activity may predict a better treatment response to belimumab.;2010-2012
14;Inactive disease and remission in childhood-onset systemic lupus erythematosus.;2012;Arthritis care & research;Mina R;"OBJECTIVE: To define inactive disease (ID) and clinical remission (CR) and to delineate variables that can be used to measure ID/CR in childhood-onset systemic lupus erythematosus (cSLE). METHODS: Delphi questionnaires were sent to an international group of pediatric rheumatologists. Respondents provided information about variables to be used in future algorithms to measure ID/CR. The usefulness of these variables was assessed in 35 children with ID and 31 children with minimally active lupus (MAL). RESULTS: While ID reflects cSLE status at a specific point in time, CR requires the presence of ID for >6 months and considers treatment. There was consensus that patients in ID/CR can have <2 mild  nonlimiting symptoms (i.e., fatigue, arthralgia, headaches, or myalgia) but not Raynaud's phenomenon, chest pain, or objective physical signs of cSLE; antinuclear antibody positivity and erythrocyte sedimentation rate elevation can  be present. Complete blood count, renal function testing, and complement C3 all must be within the normal range. Based on consensus, only damage-related laboratory or clinical findings of cSLE are permissible with ID. The above parameters were suitable to differentiate children with ID/CR from those with MAL (area under the receiver operating characteristic curve >0.85). Disease activity  scores with or without the physician global assessment of disease activity and patient symptoms were well suited to differentiate children with ID from those with MAL. CONCLUSION: Consensus has been reached on common definitions of ID/CR with cSLE and relevant patient characteristics with ID/CR. Further studies must assess the usefulness of the data-driven candidate criteria for ID in cSLE.";2010-2012
15;cAMP-responsive element modulator alpha (CREMalpha) suppresses IL-17F protein expression in T lymphocytes from patients with systemic lupus erythematosus (SLE).;2012;The Journal of biological chemistry;Hedrich CM;The proinflammatory cytokines IL-17A and IL-17F are primarily produced by Th17 lymphocytes. Both are involved in host defense mechanisms against bacterial and fungal pathogens and contribute to the development of various autoimmune diseases. T lymphocytes from patients with systemic lupus erythematosus (SLE) display increased expression of transcription factor cAMP-responsive element modulator alpha (CREMalpha), which has been documented to account for aberrant T  cell function and contributes to the pathogenesis of SLE. Here, we provide evidence that IL-17F expression is reduced in SLE T cells. We demonstrate that CREMalpha binds to a yet unidentified CRE site within the proximal promoter. This results in reduced IL-17F expression in SLE T lymphocytes and is independent of activating epigenetic patterns (increased histone H3 Lys-18 acetylation, reduced  histone H3 Lys-27 trimethylation, and CpG-DNA demethylation). Forced CREMalpha expression in human T lymphocytes results in reduced IL-17F expression. Our findings demonstrate extended involvement of CREMalpha in cytokine dysregulation  in SLE by contributing to a disrupted balance between IL-17A and IL-17F. An increased IL-17A/IL-17F ratio may aggravate the proinflammatory phenotype of SLE.;2010-2012
16;Differences between rheumatologists and other internists regarding diagnosis and  treatment of systemic lupus erythematosus.;2012;Rheumatology (Oxford, England);Lerang K;"OBJECTIVES: To compare the diagnostics and treatment of SLE patients in the care  of rheumatologists with patients in the care of other specialities within a geographically complete cohort. METHODS: Nine different sources were used to identify SLE patients resident in Oslo between 1999 and 2008. Only SLE patients fulfilling four or more of the updated 1997 ACR criteria were included. Data were extracted from medical records. The patients were classified into three groups according to each patient's responsible doctor's speciality. RESULTS: A total of  325 SLE patients were included in the study. Of these, 227 had solely been in the care of rheumatologists (rheumatology group), 34 had solely been in the care of nephrologists, haematologists or infectious disease specialists (non-rheumatology group) and 64 had been in the care of both rheumatologists and other specialists  (multidisciplinary group). Even though patients in the non-rheumatology group and multidisciplinary group showed similar disease characteristics, patients in the non-rheumatology group were less often tested for aPLs (68 vs 94%; P = 0.001) and less often treated with HCQ (12 vs 78%; P < 0.001). CONCLUSIONS: In contrast to rheumatologists, non-rheumatologists do not routinely test all SLE patients for aPLs, and rarely prescribe HCQ. These findings indicate that more communication between different specialists caring for SLE is needed, and highlights an area in need of agreement.";2010-2012
17;Pharmacokinetics, tolerability, and preliminary efficacy of paquinimod (ABR-215757), a new quinoline-3-carboxamide derivative: studies in lupus-prone mice and a multicenter, randomized, double-blind, placebo-controlled, repeat-dose, dose-ranging study in patients with systemic lupus erythematosus.;2012;Arthritis and rheumatism;Bengtsson AA;"OBJECTIVE: To assess the efficacy of paquinimod, a new immunomodulatory small molecule, in a murine lupus model, and to evaluate its pharmacokinetics and tolerability in systemic lupus erythematosus (SLE) patients at doses predicted to be efficacious and safe and determine the maximum tolerated dose. METHODS: The efficacy of paquinimod was studied in lupus-prone MRL-lpr/lpr mice and compared with that of established SLE treatments. Dose-response data and pharmacokinetic data were used to calculate effective and safe clinical doses of paquinimod. The  pharmacokinetics and tolerability of paquinimod were evaluated in a phase Ib double-blind, placebo controlled, dose-ranging study in which cohorts of SLE patients received daily oral treatment for 12 weeks. RESULTS: Paquinimod treatment resulted in disease inhibition in MRL-lpr/lpr mice, comparable to that  obtained with prednisolone and mycophenolate mofetil; prominent effects on disease manifestations and serologic markers and a steroid-sparing effect were observed. In patients with SLE, the pharmacokinetic properties of paquinimod were linear and well suitable for once-daily oral treatment. The majority of the adverse events (AEs) were mild or moderate, and transient. The most frequent AEs  were arthralgia and myalgia, reported with the highest dose levels of paquinimod  (4.5 mg/day and 6.0 mg/day). At the 4.5 mg/day dose level and higher, some AEs of severe intensity and serious adverse events were reported. CONCLUSION: Paquinimod effectively inhibited disease and had a steroid-sparing effect in experimental lupus. Results from preclinical models together with pharmacokinetic data were successfully translated into a safe clinical dose range, and doses of up to 3.0 mg/day were well tolerated in the SLE patients. Taken together, the promising combined data from a murine model and human SLE support the future clinical development of paquinimod.";2010-2012
18;Factors and comorbidities associated with first neuropsychiatric event in systemic lupus erythematosus: does a risk profile exist? A large multicentre retrospective cross-sectional study on 959 Italian patients.;2012;Rheumatology (Oxford, England);Govoni M;"OBJECTIVE: To analyse risk factors and comorbidities potentially associated with  CNS involvement in a large cohort of Italian patients affected by SLE. METHODS: A number of generic (not strictly SLE related) and specific (disease related) risk  factors to which all patients have been exposed in the span of 5 years before the first neuropsychiatric (NP) event or before the last available observation were checked for and their distribution was analysed in 959 SLE patients with and without NP involvement; all the first NP events that occurred in a time frame of  10 years were recorded and categorized as SLE related or SLE unrelated. RESULTS:  Three hundred and twenty-six SLE patients with and 633 SLE patients without NP manifestations were included in the study. A total of 469 NP events were recorded. Headache (26.1%), cerebrovascular events (22.7%), mood disorders (8.9%), seizures (14.4%) and cognitive dysfunctions (9.5%) were the most frequent SLE-related NP events. More risk factors [mean 4.52 (2.44) vs 3.73 (2.01); P < 0.0001] were observed in patients with than without NP involvement. Overall, aPLs, LA and APS were factors more strongly associated with NP involvement. CONCLUSIONS: In SLE, NP involvement and aPLs were confirmed as closely related. Furthermore, other modifiable generic risk factors, such as hypertension, carotid vasculopathy and dyslipidaemia, appeared to be related to the occurrence of cerebral vascular accident (CVA) and cognitive dysfunctions, suggesting the need  for a more intensive preventive strategy to optimize the management of NP lupus.";2010-2012
19;Novel association of acid phosphatase locus 1*C allele with systemic lupus erythematosus.;2012;Human immunology;Teruel M;The red cell acid phosphatase (ACP1) gene, which encodes a low-molecular-weight phosphotyrosine phosphatase, has been suggested as a common genetic factor of autoimmunity. In the present study, we aim to investigate the possible association of ACP1 with the susceptibility of systemic lupus erythematosus (SLE). A total of 1,546 SLE patients and 1,947 healthy individuals from 4 Caucasians populations were included in the present study. Four single-nucleotide polymorphisms (SNPs) were genotyped in this study: rs10167992, rs11553742, rs7576247, and rs3828329. ACP1*A, ACP1*B, and ACP1*C codominant ACP1 alleles were determined using 2 of the SNPs and analyzed. After the meta-analysis test was performed, a significant association of rs11553742*T was observed (p(pooled) = 0.005, odds ratios = 1.37 [1.10-1.70]), retaining significance after multiple testing was applied (p(FDR) = 0.019). Our data indicate for first time the association of rs11553742*T with increased susceptibility in SLE patients.;2010-2012
20;Use of atorvastatin in systemic lupus erythematosus in children and adolescents.;2012;Arthritis and rheumatism;Schanberg LE;"OBJECTIVE: Statins reduce atherosclerosis and cardiovascular morbidity in the general population, but their efficacy and safety in children and adolescents with systemic lupus erythematosus (SLE) are unknown. This study was undertaken to determine the 3-year efficacy and safety of atorvastatin in preventing subclinical atherosclerosis progression in pediatric-onset SLE. METHODS: A total  of 221 participants with pediatric SLE (ages 10-21 years) from 21 North American  sites were enrolled in the Atherosclerosis Prevention in Pediatric Lupus Erythematosus study, a randomized double-blind, placebo-controlled clinical trial, between August 2003 and November 2006 with 36-month followup. Participants were randomized to receive atorvastatin (n=113) or placebo (n=108) at 10 or 20 mg/day depending on weight, in addition to usual care. The primary end point was  progression of mean-mean common carotid intima-media thickening (CIMT) measured by ultrasound. Secondary end points included other segment/wall-specific CIMT measures, lipid profile, high-sensitivity C-reactive protein (hsCRP) level, and SLE disease activity and damage outcomes. RESULTS: Progression of mean-mean common CIMT did not differ significantly between treatment groups (0.0010 mm/year for atorvastatin versus 0.0024 mm/year for placebo; P=0.24). The atorvastatin group achieved lower hsCRP (P=0.04), total cholesterol (P<0.001), and low-density lipoprotein (P<0.001) levels compared with placebo. In the placebo group, CIMT progressed significantly across all CIMT outcomes (0.0023-0.0144 mm/year; P<0.05). Serious adverse events and critical safety measures did not differ between groups. CONCLUSION: Our results indicate that routine statin use over 3 years has no significant effect on subclinical atherosclerosis progression in young SLE patients; however, further analyses may suggest subgroups that would benefit from targeted statin therapy. Atorvastatin was well tolerated without safety concerns.";2010-2012
